['滨江集团', '002244', 313, ['2025-04-07', 9.35, 9.79, '2025-04-09', 9.97, 9.91, '2025-04-11', 10.06, 10.1]]
['中国卫星', '600118', 312, ['2025-04-08', 24.5, 24.54, '2025-04-09', 25.77, 25.44, '2025-04-10', 25.79, 26.0]]
['格林美', '002340', 308, ['2025-03-24', 6.68, 6.71, '2025-03-26', 6.74, 6.73, '2025-03-27', 6.72, 6.73]]
['越秀资本', '000987', 307, ['2025-04-08', 5.99, 6.05, '2025-04-10', 6.24, 6.15, '2025-04-11', 6.12, 6.2]]
['中远海发', '601866', 306, ['2025-04-08', 2.17, 2.19, '2025-04-09', 2.29, 2.25, '2025-04-10', 2.28, 2.34]]
['南网储能', '600995', 303, ['2025-04-07', 8.82, 9.18, '2025-04-09', 9.46, 9.36, '2025-04-10', 9.48, 9.5]]
['华兰生物', '002007', 302, ['2025-03-31', 15.53, 15.63, '2025-04-01', 16.18, 15.96, '2025-04-02', 16.01, 16.15]]
['建发股份', '600153', 301, ['2025-04-07', 9.81, 9.87, '2025-04-09', 10.38, 10.21, '2025-04-11', 10.23, 10.43]]
['中直股份', '600038', 301, ['2025-04-08', 34.84, 34.86, '2025-04-09', 36.56, 35.84, '2025-04-10', 36.57, 36.59]]
['新天绿能', '600956', 295, ['2025-04-07', 6.8, 6.93, '2025-04-10', 7.06, 7.05, '2025-04-11', 7.02, 7.07]]
['国金证券', '600109', 294, ['2025-04-08', 7.73, 7.88, '2025-04-10', 7.97, 7.93, '2025-04-11', 7.94, 7.95]]
['深高速', '600548', 294, ['2025-03-24', 10.94, 11.07, '2025-03-28', 11.05, 11.04, '2025-04-02', 11.08, 11.26]]
['新城控股', '601155', 292, ['2025-04-07', 11.21, 11.87, '2025-04-09', 12.91, 12.13, '2025-04-11', 12.98, 13.19]]
['齐鲁银行', '601665', 290, ['2025-04-07', 5.82, 5.84, '2025-04-10', 6.02, 5.97, '2025-04-11', 6.0, 6.02]]
['航天电子', '600879', 289, ['2025-04-08', 8.19, 8.31, '2025-04-09', 8.68, 8.61, '2025-04-10', 8.66, 8.75]]
['安琪酵母', '600298', 289, ['2025-04-07', 32.67, 33.58, '2025-04-08', 34.2, 34.2, '2025-04-10', 34.0, 35.1]]
['南京证券', '601990', 286, ['2025-04-08', 7.61, 7.73, '2025-04-10', 7.79, 7.78, '2025-04-11', 7.77, 7.79]]
['中粮资本', '002423', 282, ['2025-04-07', 11.41, 11.96, '2025-04-09', 12.43, 12.2, '2025-04-11', 12.27, 12.5]]
['吉祥航空', '603885', 282, ['2025-04-07', 12.17, 12.39, '2025-04-10', 12.86, 12.7, '2025-04-11', 12.85, 12.86]]
['康美药业', '600518', 277, ['2025-03-31', 2.09, 2.1, '2025-04-01', 2.13, 2.13, '2025-04-02', 2.11, 2.13]]
['湖南黄金', '002155', 275, ['2025-04-08', 19.81, 20.42, '2025-04-09', 20.98, 20.89, '2025-04-11', 22.91, 23.0]]
['中银证券', '601696', 275, ['2025-04-08', 9.54, 9.77, '2025-04-10', 9.93, 9.86, '2025-04-11', 9.91, 9.98]]
['锦江酒店', '600754', 275, ['2025-04-07', 24.02, 25.27, '2025-04-09', 26.15, 25.55, '2025-04-11', 25.75, 26.17]]
['西南证券', '600369', 270, ['2025-04-08', 3.97, 4.05, '2025-04-10', 4.11, 4.08, '2025-04-11', 4.07, 4.09]]
['建元信托', '600816', 269, ['2025-04-08', 2.64, 2.69, '2025-04-10', 2.75, 2.73, '2025-04-11', 2.74, 2.74]]
['国网英大', '600517', 266, ['2025-04-08', 4.6, 4.71, '2025-04-10', 4.76, 4.74, '2025-04-11', 4.66, 4.72]]
['雅克科技', '002409', 264, ['2025-03-21', 59.66, 59.84, '2025-03-26', 60.01, 59.88, '2025-03-28', 61.5, 61.8]]
['中国核建', '601611', 263, ['2025-04-08', 8.4, 8.4, '2025-04-09', 8.75, 8.71, '2025-04-10', 8.81, 8.9]]
['正邦科技', '002157', 261, ['2025-04-07', 2.69, 2.74, '2025-04-08', 2.9, 2.8, '2025-04-09', 2.9, 2.9]]
